Team,Over Record,Over %,Under %,Total +/-
Washington,1-0-0,100.0%,0.0%,+7.0
Philadelphia,1-0-0,100.0%,0.0%,+24.0
Detroit,1-0-0,100.0%,0.0%,+24.0
Cleveland,1-0-0,100.0%,0.0%,+8.0
New Orleans,1-0-0,100.0%,0.0%,+9.5
Jacksonville,1-0-0,100.0%,0.0%,+7.0
Atlanta,1-0-0,100.0%,0.0%,+9.5
Arizona,1-0-0,100.0%,0.0%,+11.0
Carolina,1-0-0,100.0%,0.0%,+8.0
Kansas City,1-1-0,50.0%,50.0%,+4.8
Cincinnati,0-1-0,0.0%,100.0%,-2.0
Chicago,0-1-0,0.0%,100.0%,-9.5
Baltimore,0-1-0,0.0%,100.0%,-11.0
Green Bay,0-1-0,0.0%,100.0%,-16.5
Houston,0-1-0,0.0%,100.0%,-6.0
Minnesota,0-1-0,0.0%,100.0%,-16.5
Tennessee,0-1-0,0.0%,100.0%,-3.0
Tampa Bay,0-1-0,0.0%,100.0%,-27.5
LA Chargers,0-2-0,0.0%,100.0%,-5.5
Denver,0-1-0,0.0%,100.0%,-10.5
Las Vegas,0-1-0,0.0%,100.0%,-9.5
Seattle,0-1-0,0.0%,100.0%,-10.5
Buffalo,0-1-0,0.0%,100.0%,-10.5
San Francisco,0-1-0,0.0%,100.0%,-9.5
LA Rams,0-1-0,0.0%,100.0%,-10.5
Indianapolis,0-1-0,0.0%,100.0%,-6.0
Miami,0-1-0,0.0%,100.0%,-19.5
New England,0-1-0,0.0%,100.0%,-19.5
Dallas,0-1-0,0.0%,100.0%,-27.5
NY Jets,0-1-0,0.0%,100.0%,-11.0
Pittsburgh,0-1-0,0.0%,100.0%,-2.0
NY Giants,0-1-0,0.0%,100.0%,-3.0
